Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
4/25/2006, ,-131579,4457081,-11386.7,-4314120
4/26/2006, ,-131579,3654913,-52709,-3470620
4/27/2006, ,-131579,3164531,-63230,-2969720
4/28/2006, ,-131579,2655132,-65848.6,-2457700
4/29/2006, ,-131579,2207289,-61708.4,-2014000
4/30/2006, ,-131579,1658046,-68972.8,-1457490
5/1/2006, ,-131579,1204276,-78369.3,-994328
5/2/2006, ,-131579,934190,-79257.2,-723354
5/3/2006, ,-131579,786427,-76969,-577879
5/4/2006,572626, ,701609,-81810.9,-1192420
5/5/2006,933102, ,650632,-91813,-1491920
5/6/2006,1035020, ,629091,-97437.6,-1566670
5/7/2006,1043470, ,606368,-83163.8,-1566670
5/8/2006,300614, ,587126,-69566,-818173
5/9/2006,75248.5, ,575402,-79477.7,-571173
5/10/2006, ,-32846.4,565997,-85598.2,-447552
5/11/2006, ,-300041,844954,-97360.2,-447552
5/12/2006, ,-1940070,2258618,129006,-447552
5/13/2006, ,-1829070,2058074,218552,-447552
5/14/2006, ,-629438,1038476,38514,-447552
5/15/2006, ,-807556,1544822,-91036.3,-646229
5/16/2006, ,-131579,2072071,55735.7,-1996230
5/17/2006, ,-131579,2099065,-56739.4,-1910750
5/18/2006, ,-131579,2315900,-66458.7,-2117860
5/19/2006, ,-131579,2818334,9119.42,-2695880
5/20/2006, ,-131579,2198495,50863.3,-2117780
5/21/2006, ,-131579,3523846,-72442.4,-3319820
5/22/2006, ,-131579,2665968,82767.4,-2617160
5/23/2006, ,-131579,1846372,-68458.1,-1646340
5/24/2006, ,-131579,1497351,-67246.9,-1298530
5/25/2006, ,-131579,1219426,-96157.4,-991689
5/26/2006, ,-131579,1994563,-93719.4,-1769260
5/27/2006, ,-131579,1641775,31227.1,-1541420
5/28/2006, ,-131579,1121773,-103014,-887180
5/29/2006, ,-131579,917653,-113701,-672373
5/30/2006, ,-131579,2065042,-117466,-1816000
5/31/2006, ,-131579,1803389,7146.75,-1678960
6/1/2006, ,-131579,3550476,-117972,-3300920
6/2/2006,655738, ,3162494,88549.4,-3906780
6/3/2006,655738, ,8345692,-74465.8,-8926960
6/4/2006,655738, ,6644747,377635,-7678120
6/5/2006,655738, ,3795889,-49100.4,-4402530
6/6/2006,655738, ,2827115,-103925,-3378930
6/7/2006,655738, ,4860922,-103596,-5413060
6/8/2006,655738, ,5325874,75712.6,-6057320
6/9/2006,655738, ,4569410,-42053.7,-5183090
6/10/2006,655738, ,4099617,-48213.5,-4707140
6/11/2006,655738, ,2724213,-64912.3,-3315040
6/12/2006,655738, ,1776338,-80964.5,-2351110
6/13/2006,655738, ,1346407,-101200,-1900940
6/14/2006,655738, ,2020555,-111759,-2564530
6/15/2006,655738, ,1605788,11366.1,-2272890
6/16/2006,655738, ,1122733,-108921,-1669550
6/17/2006,655738, ,1044479,-108480,-1591740
6/18/2006,655738, ,1006128,-113370,-1548500
6/19/2006,655738, ,1959010,-129428,-2485320
6/20/2006,655738, ,1325850,210386,-2191970
6/21/2006,975325, ,1138214,-114438,-1999100
6/22/2006,501350, ,928249,-111446,-1318150
6/23/2006,490539, ,1672965,-116767,-2046740
6/24/2006,655738, ,1342723,120935,-2119400
6/25/2006,655738, ,8121650,-63643,-8713740
6/26/2006,655738, ,18376236,358954,-19390900
6/27/2006,655738, ,59959324,484354,-61099400
6/28/2006,655738, ,45103968,1480700,-47240400
6/29/2006,655738, ,20289664,378496,-21323900
6/30/2006,655738, ,8400890,-76814.5,-8979810
7/1/2006,655738, ,4819462,-66882.1,-5408320
7/2/2006,655738, ,3112099,-114862,-3652970
7/3/2006,655738, ,2198416,-99198,-2754960
7/4/2006,655738, ,2099240,-50232.5,-2704750
7/5/2006,655738, ,1444671,41454.3,-2141860
7/6/2006,655738, ,1063387,-102997,-1616130
7/7/2006,1088142, ,911784,-108267,-1891660
7/8/2006,635272, ,840316,-108182,-1367410
7/9/2006,1156859, ,825667,-114558,-1867970
7/10/2006,824083, ,801296,-113044,-1512330
7/11/2006,55437.9, ,1573134,-68577.6,-1559990
7/12/2006,174634, ,3471185,103565,-3749380
7/13/2006,655738, ,1881731,242926,-2780390
7/14/2006,655738, ,1163793,-108395,-1711140
7/15/2006,908415, ,1436637,-131763,-2213290
7/16/2006,1048229, ,1279587,-89721.7,-2238090
7/17/2006,1453988, ,1032004,-131955,-2354040
7/18/2006,821275, ,970756,-134768,-1657260
7/19/2006,609340, ,886005,-128497,-1366850
7/20/2006,1542784, ,787370,-123832,-2206320
7/21/2006,1497148, ,1080231,-109907,-2467470
7/22/2006, ,-2635280,5495252,95877.8,-2955850
7/23/2006,655738, ,3062244,484081,-4202060
7/24/2006,655738, ,1595255,-100360,-2150630
7/25/2006,723757, ,1488518,-113257,-2099020
7/26/2006,1084860, ,1304932,-121597,-2268200
7/27/2006,787126, ,1865119,-130425,-2521820
7/28/2006,27207.6, ,3859724,-81272.8,-3805660
7/29/2006,655738, ,3883668,127702,-4667110
7/30/2006,655738, ,2814516,-79208,-3391050
7/31/2006,1254086, ,1646305,-119091,-2781300
8/1/2006,1483536, ,1249268,-121797,-2611010
8/2/2006,1765008, ,1019122,-136182,-2647950
8/3/2006,1764279, ,1057142,-141571,-2679850
8/4/2006,1750070, ,1200739,11651.4,-2962460
8/5/2006,1744052, ,1142403,-100975,-2785480
8/6/2006,1157888, ,821802,-111304,-1868390
8/7/2006,930865, ,924940,-103780,-1752020
8/8/2006,1867037, ,771775,-37558.6,-2601250
8/9/2006,2474548, ,678552,-112879,-3040220
8/10/2006,1789986, ,648998,-102504,-2336480
8/11/2006,2574295, ,626328,-103545,-3097080
8/12/2006,1629079, ,607647,-98688.9,-2138040
8/13/2006,1171704, ,592448,-87936,-1676220
8/14/2006,1714061, ,710558,-90787.2,-2333830
8/15/2006,2175373, ,684571,-12869.2,-2847080
8/16/2006,1533280, ,606996,-31781,-2108490
8/17/2006,1393157, ,572716,-99577.3,-1866300
8/18/2006,1828502, ,563966,-103927,-2288540
8/19/2006, ,-7551420,10157458,-107076,-2498970
8/20/2006, ,-3619180,5731712,699281,-2811820
8/21/2006, ,-59051.5,2585843,-20020.8,-2506770
8/22/2006, ,-146163,2365520,-102920,-2116440
8/23/2006, ,-314315,2216276,-100048,-1801910
8/24/2006,2052523, ,2029824,-99142.1,-3983200
8/25/2006,329415, ,2999112,-91710.2,-3236820
8/26/2006, ,-2395610,4012594,190500,-1807490
8/27/2006, ,-4407680,6815115,77597.2,-2485030
8/28/2006, ,-2215280,4145176,357814,-2287700
8/29/2006, ,-16046800,19898592,-74690.3,-3777120
8/30/2006, ,-131579,11529585,882516,-12280500
8/31/2006, ,-131579,5343538,-99395,-5112560
9/1/2006, ,-131579,3850222,-84324.2,-3634320
9/2/2006, ,-131579,4322104,-73982.3,-4116540
9/3/2006, ,-131579,3650770,112704,-3631890
9/4/2006, ,-131579,2514190,-54973.2,-2327640
9/5/2006,1091789, ,2022629,-81777.5,-3032640
9/6/2006,1600467, ,1566151,-47577.6,-3119040
9/7/2006,1356430, ,1164662,-71651.6,-2449440
9/8/2006,1450266, ,954779,-85205.1,-2319840
9/9/2006,1539765, ,1042416,-89541.7,-2492640
9/10/2006,1595727, ,891776,-38062.9,-2449440
9/11/2006,1318831, ,778074,-79465.6,-2017440
9/12/2006,1113292, ,737077,-70528.8,-1779840
9/13/2006,1689711, ,827906,-68177.8,-2449440
9/14/2006, ,-1523490,3783936,-5409.7,-2255040
9/15/2006, ,-2506790,5569052,294380,-3356640
9/16/2006,264128, ,2563298,234590,-3062020
9/17/2006,147849, ,1971712,-72744.7,-2046820
9/18/2006,383471, ,1857289,-85944.1,-2154820
9/19/2006,943950, ,1967043,-86576.5,-2824420
9/20/2006,934808, ,1868216,-43408.7,-2759620
9/21/2006,310693, ,1648707,-42184.6,-1917220
9/22/2006,503534, ,1343785,-59702.6,-1787620
9/23/2006,1306910, ,1681226,-55719.9,-2932420
9/24/2006,168723, ,1693734,11559.1,-1874020
9/25/2006,1966422, ,1249561,-24366.6,-3191620
9/26/2006,1632258, ,1007961,-75002.2,-2565220
9/27/2006,1976243, ,908795,-60622.5,-2824420
9/28/2006, ,-4590380,7282894,-62496.7,-2630020
9/29/2006, ,-3001000,4809787,756424,-2565220
9/30/2006, ,-2146910,3935153,-22230.6,-1766020
10/1/2006, ,-3865610,5762676,-6637.35,-1890430
10/2/2006, ,-2813230,4355537,124878,-1667190
10/3/2006, ,-625854,3353298,-50910.9,-2676530
10/4/2006, ,-1406260,3663614,-37488.2,-2219870
10/5/2006, ,-174029,2965740,4528.05,-2796240
10/6/2006,56729.7, ,2116491,-55640.4,-2117580
10/7/2006,367734, ,1605239,-49095.1,-1923880
10/8/2006,860176, ,1283727,-52242.5,-2091660
10/9/2006,1290207, ,1055140,-58589.5,-2286760
10/10/2006,1022099, ,906869,-64456.3,-1864510
10/11/2006,838283, ,837314,-58997,-1616600
10/12/2006,1307257, ,1089301,-48763.5,-2347790
10/13/2006,1143866, ,892105,43565.2,-2079540
10/14/2006,1478640, ,772467,-40994.8,-2210110
10/15/2006,696174, ,741461,-35222.9,-1402410
10/16/2006,1272470, ,716963,-36291.6,-1953140
10/17/2006, ,-134521,2300658,-41361.3,-2124780
10/18/2006,426044, ,1693375,274181,-2393600
10/19/2006, ,-1836590,4283806,-28254.5,-2418960
10/20/2006, ,-7733550,10197030,308891,-2772370
10/21/2006, ,-4610660,6783989,339283,-2512610
10/22/2006, ,-2000110,4424090,-38742.7,-2385240
10/23/2006, ,-1533340,4077930,-36085.3,-2508500
10/24/2006, ,-131579,3679951,-36273.7,-3512100
10/25/2006, ,-131579,3392141,-28115.3,-3232450
10/26/2006, ,-131579,2753140,-3752.07,-2617810
10/27/2006, ,-131579,3167126,-32585.5,-3002960
10/28/2006, ,-131579,12998187,91453.7,-12958100
10/29/2006, ,-131579,8595277,672531,-9136230
10/30/2006, ,-131579,4813686,-32959,-4649150
10/31/2006, ,-131579,3760271,-35626.3,-3593070
11/1/2006, ,-131579,4178782,-42331.9,-4004870
11/2/2006, ,-131579,4005451,85896.7,-3959770
11/3/2006, ,-131579,3231192,28749,-3128360
11/4/2006, ,-131579,2609876,-26128.6,-2452170
11/5/2006,275741, ,2039774,-25339,-2290180
11/6/2006,462265, ,1629981,-28726.4,-2063520
11/7/2006,790838, ,1508284,-31985.3,-2267140
11/8/2006, ,-1157040,3493392,2787.8,-2339140
11/9/2006, ,-1029690,3086105,195925,-2252340
11/10/2006,122128, ,2049859,-43090.9,-2128900
11/11/2006, ,-330791,2265071,-39239.8,-1895040
11/12/2006, ,-186073,2692289,63929.3,-2570150
11/13/2006, ,-131579,2469678,45203.1,-2383300
11/14/2006, ,-131579,2357339,-5449.81,-2220310
11/15/2006, ,-131579,2443737,-570.474,-2311590
11/16/2006, ,-131579,16111589,-25448.3,-15954600
11/17/2006, ,-131579,9837465,884481,-10590400
11/18/2006, ,-131579,6443854,-34878.4,-6277400
11/19/2006, ,-131579,4851048,-31267.2,-4688200
11/20/2006, ,-131579,3838758,-27025.3,-3680150
11/21/2006, ,-131579,3101699,-20240.2,-2949880
11/22/2006, ,-131579,2567336,-20515.9,-2415240
11/23/2006, ,-131579,3228717,-18687.9,-3078450
11/24/2006, ,-131579,2339476,174200,-2382100
11/25/2006, ,-131579,1763278,-23159.9,-1608540
11/26/2006,161868, ,1469094,-22482.5,-1608480
11/27/2006,337966, ,1285011,-26304.7,-1596670
11/28/2006,423340, ,1161150,-27561.1,-1556930
11/29/2006,462309, ,1073708,-28625.3,-1507390
11/30/2006,388843, ,1115347,-31933.4,-1472260
12/1/2006, ,-2529560,4003408,-22328.3,-1451520
12/2/2006, ,-165819,3027306,326823,-3188310
12/3/2006, ,-131579,2116141,-24810.2,-1959750
12/4/2006, ,-131579,1871325,-22232.1,-1717510
12/5/2006, ,-131579,1818322,-20825.1,-1665920
12/6/2006, ,-131579,1773768,-17382.4,-1624810
12/7/2006, ,-131579,1719257,-20373.7,-1567300
12/8/2006, ,-131579,1636190,-14709.4,-1489900
12/9/2006,995.391, ,1461544,-11019.9,-1451520
12/10/2006,177977, ,1285409,-11866,-1451520
12/11/2006,321995, ,1149684,-20158.9,-1451520
12/12/2006,428273, ,1044150,-20903.3,-1451520
12/13/2006,138574, ,1336096,-23150.3,-1451520
12/14/2006,270968, ,1131516,49035.9,-1451520
12/15/2006,310423, ,1166791,-25693.3,-1451520
12/16/2006,475774, ,992174,-16427.4,-1451520
12/17/2006,533556, ,944944,-26980.2,-1451520
12/18/2006,280839, ,1196159,-25478.6,-1451520
12/19/2006,390622, ,1041120,19778.3,-1451520
12/20/2006,479105, ,993502,-21087.7,-1451520
12/21/2006, ,-809376,1032784,-17775.5,-205632
12/22/2006, ,-1788230,2015974,-22113.3,-205632
12/23/2006, ,-2151820,2325102,32353.7,-205632
12/24/2006, ,-1164940,1550921,94260.4,-480244
12/25/2006, ,-131579,2176434,-18610.5,-2026240
12/26/2006, ,-131579,2497805,-16590.2,-2349640
12/27/2006, ,-131579,2076863,19712.4,-1965000
12/28/2006, ,-131579,1836837,-4605.72,-1700650
12/29/2006, ,-131579,1752868,-19580.3,-1601710
12/30/2006, ,-131579,1631708,-19446.3,-1480680
12/31/2006, ,-131579,1471393,-20755.1,-1319060
1/1/2007, ,-131579,2677014,-17805.4,-2527630
1/2/2007, ,-131579,1946057,105085,-1919560
1/3/2007, ,-131579,1512999,-22597.8,-1358820
1/4/2007, ,-131579,1356784,-20671.2,-1204530
1/5/2007, ,-131579,6013106,-22711.7,-5858820
1/6/2007, ,-131579,7393858,333347,-7595630
1/7/2007, ,-131579,7075640,237864,-7181920
1/8/2007, ,-131579,9279087,207939,-9355450
1/9/2007, ,-131579,5844660,253283,-5966360
1/10/2007, ,-131579,3907994,9628.05,-3786040
1/11/2007, ,-131579,3338345,-18599.1,-3188170
1/12/2007, ,-131579,2899961,-14414.7,-2753970
1/13/2007, ,-131579,3330350,-17012.3,-3181760
1/14/2007, ,-131579,3264692,142324,-3275440
1/15/2007, ,-131579,7738910,126057,-7733390
1/16/2007, ,-131579,4966150,337017,-5171590
1/17/2007, ,-131579,3356662,-19153.7,-3205930
1/18/2007, ,-131579,2816922,-10500.9,-2674840
1/19/2007, ,-131579,2430811,-14071.6,-2285160
1/20/2007, ,-131579,2145829,-15955.2,-1998290
1/21/2007, ,-131579,1900330,-14267,-1754480
1/22/2007, ,-131579,1686413,-9715.57,-1545120
1/23/2007,315698, ,1433948,-13628.6,-1736020
1/24/2007,680775, ,1241990,-14499.7,-1908260
1/25/2007,725273, ,1113349,-16480.8,-1822140
1/26/2007,814898, ,1024395,-13522.4,-1825770
1/27/2007,499894, ,959458,-7832.29,-1451520
1/28/2007,1289091, ,908720,-8919.29,-2188890
1/29/2007,1129944, ,868328,-15253.7,-1983020
1/30/2007,1130115, ,836067,-13161.4,-1953020
1/31/2007,1200143, ,809144,-11270.1,-1998020
2/1/2007,1191307, ,785818,-12734.2,-1964390
2/2/2007,1170113, ,764859,-15578.6,-1919390
2/3/2007,686501, ,745915,19104.1,-1451520
2/4/2007,784651, ,729253,-13758.3,-1500150
2/5/2007,36332.9, ,714657,-9989.05,-741001
2/6/2007,47378.7, ,701432,-7809.38,-741001
2/7/2007,54003, ,689160,-9661.2,-733501
2/8/2007,72430.1, ,677753,-9181.86,-741001
2/9/2007,24042.8, ,667096,-10134,-681005
2/10/2007, ,-439047,657133,-12453.6,-205632
2/11/2007, ,-421857,647793,-12803.9,-213132
2/12/2007,107109, ,638909,-12515.9,-733501
2/13/2007,104483, ,630519,-16499.4,-718502
2/14/2007,109150, ,622685,-13332.6,-718502
2/15/2007,107946, ,615298,-12240.9,-711003
2/16/2007,108524, ,608308,-9700.52,-707132
2/17/2007, ,-385746,601620,-10242.4,-205632
2/18/2007, ,-337292,595213,-11162.6,-246758
2/19/2007,206744, ,589173,-13790,-782127
2/20/2007,374041, ,590181,-10089.2,-954132
2/21/2007, ,-544056,1632923,112508,-1201370
2/22/2007, ,-2182940,3311832,192229,-1321130
2/23/2007, ,-461242,1805619,-23251.3,-1321130
2/24/2007,511661, ,813977,-19511.9,-1306130
2/25/2007,472426, ,864599,-15900.2,-1321130
2/26/2007, ,-1550740,2612628,-17763,-1044130
2/27/2007, ,-3437430,4299552,84757.9,-946875
2/28/2007, ,-1959570,2668182,245522,-954132
3/1/2007, ,-686337,1665726,-25256.8,-954132
3/2/2007, ,-6680000,8121833,-20483,-1421360
3/3/2007, ,-131579,9947598,486701,-10302700
3/4/2007, ,-131579,6022107,271714,-6162240
3/5/2007, ,-131579,3200407,195099,-3263930
3/6/2007, ,-131579,2809441,-26305.8,-2651560
3/7/2007, ,-131579,2388842,-13695.4,-2243570
3/8/2007, ,-131579,2041106,-12337.8,-1897190
3/9/2007, ,-131579,1775915,-12856.5,-1631480
3/10/2007, ,-131579,3762478,-15501.9,-3615400
3/11/2007, ,-131579,4836566,212456,-4917440
3/12/2007, ,-131579,8316906,47881.5,-8233210
3/13/2007, ,-131579,13190132,-1177.66,-13057400
3/14/2007, ,-131579,10146067,-15810.6,-9998680
3/15/2007, ,-131579,11691217,26006.6,-11585600
3/16/2007, ,-131579,7121606,226994,-7217020
3/17/2007, ,-131579,4291168,-24117.3,-4135470
3/18/2007, ,-131579,3427760,-20239.3,-3275940
3/19/2007, ,-131579,2704969,-22169.1,-2551220
3/20/2007, ,-131579,2128762,-20037,-1977150
3/21/2007, ,-131579,1683107,-21526.5,-1530000
3/22/2007, ,-131579,6676640,-21594.7,-6523470
3/23/2007, ,-131579,8834676,355080,-9058180
3/24/2007, ,-131579,8070453,236972,-8175850
3/25/2007, ,-131579,4722841,65365.5,-4656630
3/26/2007, ,-131579,5282314,13097.3,-5163830
3/27/2007, ,-131579,4058116,71315,-3997850
3/28/2007, ,-131579,2854293,-43140.2,-2679570
3/29/2007, ,-131579,2434092,-58643.4,-2243870
3/30/2007, ,-131579,2024793,-45202.6,-1848010
3/31/2007, ,-131579,1633934,-47932.9,-1454420
4/1/2007, ,-131579,2530229,-49636.4,-2349010
4/2/2007, ,-131579,1451540,66093.9,-1386050
4/3/2007, ,-131579,1175089,-63198.9,-980311
4/4/2007, ,-131579,2466125,-65689.9,-2268860
4/5/2007, ,-131579,1746455,124840,-1739720
4/6/2007, ,-131579,1309319,-25522.8,-1152220
4/7/2007, ,-131579,1258692,-26202.4,-1100910
4/8/2007, ,-131579,1216840,-24057.7,-1061200
4/9/2007, ,-131579,1189422,-26877.1,-1030970
4/10/2007, ,-131579,1154288,-23172.2,-999537
4/11/2007, ,-131579,1187837,-26953.1,-1029310
4/12/2007, ,-131579,2396007,-12594.3,-2251830
4/13/2007, ,-131579,2284254,196116,-2348790
4/14/2007, ,-131579,2385132,21322.7,-2274880
4/15/2007, ,-131579,16064426,-9369.11,-15923500
4/16/2007, ,-131579,20629676,527856,-21026000
4/17/2007, ,-131579,16232419,328598,-16429400
4/18/2007, ,-131579,12089392,161412,-12119200
4/19/2007, ,-131579,8263056,21413.2,-8152890
4/20/2007, ,-131579,5278976,-59607,-5087790
4/21/2007, ,-131579,3555111,-68630.7,-3354900
4/22/2007, ,-131579,2563247,-72846.5,-2358820
4/23/2007, ,-131579,2629523,-77130.6,-2420810
4/24/2007, ,-131579,1686656,-49108.2,-1505970
4/25/2007, ,-131579,3282194,-79322.1,-3071290
4/26/2007, ,-131579,1900956,148504,-1917880
4/27/2007, ,-131579,1669528,-63049,-1474900
4/28/2007, ,-131579,1560055,-39492.5,-1388980
4/29/2007,38616.1, ,1329398,-46888.9,-1321130
4/30/2007,107989, ,1246441,-70802.4,-1283630
5/1/2007, ,-541342,1464960,-62985.1,-860634
5/2/2007, ,-10045.9,1428163,-34818.7,-1383300
5/3/2007,1028442, ,1148320,-26093,-2150670
5/4/2007,830718, ,1036758,-72430.3,-1795050
5/5/2007,680100, ,957902,-71327.8,-1566670
5/6/2007,746724, ,893176,-73225.8,-1566670
5/7/2007,799609, ,842507,-75442.2,-1566670
5/8/2007,843672, ,800851,-77849.7,-1566670
5/9/2007,893463, ,763545,-90333.6,-1566670
5/10/2007, ,-241765,1741291,-101228,-1398300
5/11/2007, ,-464468,1928172,99340.9,-1563050
5/12/2007,196831, ,1432126,-65911.5,-1563050
5/13/2007,619948, ,1032592,-89495.2,-1563050
5/14/2007,643804, ,995518,-76277.2,-1563050
5/15/2007,939832, ,990741,-75530,-1855040
5/16/2007, ,-411910,2106916,-101963,-1593040
5/17/2007, ,-134731,1591082,110323,-1566670
5/18/2007,442794, ,1207414,-83533.9,-1566670
5/19/2007,213042, ,1425910,-72278,-1566670
5/20/2007,215500, ,1408988,-57814.4,-1566670
5/21/2007,534863, ,1112551,-80739.9,-1566670
5/22/2007,686744, ,965927,-85997.6,-1566670
5/23/2007,765223, ,885780,-84329.1,-1566670
5/24/2007,866854, ,802238,-102418,-1566670
5/25/2007,932264, ,750225,-115815,-1566670
5/26/2007,963176, ,722516,-119019,-1566670
5/27/2007,611065, ,1069698,-114089,-1566670
5/28/2007,641817, ,863019,61838.1,-1566670
5/29/2007,963893, ,696141,-93359.4,-1566670
5/30/2007,1001672, ,666210,-101208,-1566670
5/31/2007,752192, ,931558,-117076,-1566670
6/1/2007,1158013, ,779089,-21372.3,-1915730
6/2/2007,1302816, ,855013,-125747,-2032080
6/3/2007, ,-97876,1290079,-56146.5,-1136060
6/4/2007,227179, ,1668008,29078.5,-1924270
6/5/2007,895576, ,1305082,-80332.5,-2120330
6/6/2007,1342037, ,1080063,-95999.4,-2326100
6/7/2007,1167209, ,926263,-94971.1,-1998500
6/8/2007, ,-4985350,7431442,-96514.3,-2349570
6/9/2007, ,-778.361,2099048,68135.5,-2166410
6/10/2007,336867, ,1767760,-126430,-1978200
6/11/2007,509086, ,1628142,-115687,-2021540
6/12/2007,683581, ,1554270,-110165,-2127690
6/13/2007,1315746, ,1190560,-42108.8,-2464200
6/14/2007,1195225, ,1008752,-122532,-2081450
6/15/2007,1478070, ,886847,-112239,-2252680
6/16/2007,1288316, ,829113,-109527,-2007900
6/17/2007,1568372, ,716600,-97335,-2187640
6/18/2007,515222, ,620403,-114360,-1021270
6/19/2007, ,-341374,1485387,-126221,-1017790
6/20/2007,407511, ,1541151,130035,-2078700
6/21/2007,2022315, ,1077692,-109415,-2990590
6/22/2007,1892271, ,994165,62309.4,-2948750
6/23/2007,2168341, ,796761,-105470,-2859630
6/24/2007,2419520, ,750212,-93667.8,-3076060
6/25/2007,1739426, ,708601,-104686,-2343340
6/26/2007,1724366, ,666578,-120945,-2270000
6/27/2007,1356391, ,914506,-138614,-2132280
6/28/2007,729498, ,806281,242696,-1778470
6/29/2007,1323575, ,623496,-47319.3,-1899750
6/30/2007,1479444, ,607624,-116900,-1970170
7/1/2007,1960089, ,579105,-81874.1,-2457320
7/2/2007,1674658, ,551315,-104777,-2121200
7/3/2007,1534023, ,555042,-88271.1,-2000790
7/4/2007,861954, ,1822400,-100195,-2584160
7/5/2007, ,-13392.7,1903995,275471,-2166070
7/6/2007,1112183, ,1349431,131443,-2593060
7/7/2007,1106243, ,1064828,-87774.5,-2083300
7/8/2007,882496, ,1779732,-112092,-2550140
7/9/2007,1006829, ,1521246,1436.52,-2529510
7/10/2007,1053482, ,1265885,-114274,-2205090
7/11/2007,722534, ,1585654,-140448,-2167740
7/12/2007,1849815, ,1335225,-52878.1,-3132160
7/13/2007,1977945, ,976990,-108877,-2846060
7/14/2007,1845382, ,848790,-102019,-2592150
7/15/2007,2304094, ,847318,-111095,-3040320
7/16/2007,2416661, ,723179,-106769,-3033070
7/17/2007,1669529, ,930557,-113007,-2487080
7/18/2007,1497703, ,1448066,-52609.6,-2893160
7/19/2007, ,-1536320,4052196,48404.8,-2564280
7/20/2007,20223, ,2631143,140900,-2792270
7/21/2007,1798723, ,1456950,-99133.4,-3156540
7/22/2007,1728962, ,1336795,-111282,-2954480
7/23/2007, ,-2804270,5951683,-104857,-3042550
7/24/2007, ,-1322380,4147416,605206,-3430240
7/25/2007,870338, ,2499171,-90052.1,-3279460
7/26/2007,1868859, ,1868123,-115549,-3621430
7/27/2007, ,-1582100,4493066,-120870,-2790100
7/28/2007, ,-1505170,3999063,225970,-2719860
7/29/2007,202119, ,2801285,70420.7,-3073830
7/30/2007,1428087, ,2045516,-118281,-3355320
